feature,description,units,этап,установка,показатель)
f_14,Синтез. Установка дегидрирования. Расход продувочного газа в распред. устройство реактора R1,кг/ч,Синтез, Установка дегидрирования, Расход продувочного газа в распред. устройство реактора R1
f_15,Синтез. Установка дегидрирования. Расход продувочного газа в M1,кг/ч,Синтез, Установка дегидрирования, Расход продувочного газа в M1
f_16,Синтез. Установка дегидрирования. Расход продувочного газа в V1,кПа,Синтез, Установка дегидрирования, Расход продувочного газа в V1
f_17,Синтез. Установка дегидрирования. Расход продувочного газа в распред. устройство реактора R2,кг/ч,Синтез, Установка дегидрирования, Расход продувочного газа в распред. устройство реактора R2
f_18,Синтез. Установка дегидрирования. Расход продувочного газа в M2,кг/ч,Синтез, Установка дегидрирования, Расход продувочного газа в M2
f_19,Синтез. Установка дегидрирования. Расход продувочного газа в V2,кг/ч,Синтез, Установка дегидрирования, Расход продувочного газа в V2
f_20,Синтез. Установка дегидрирования. Температура потока на выходе из печи на входе в реактор R2,градусы Цельсия,Синтез, Установка дегидрирования, Температура потока на выходе из печи на входе в реактор R2
f_21,Синтез. Установка дегидрирования. Средняя температура на выходе сырья из печи H2,градусы Цельсия,Синтез, Установка дегидрирования, Средняя температура на выходе сырья из печи H2
f_22,Синтез. Установка дегидрирования. Расход продувочного газа в распред. устройство реактора R3,кг/ч,Синтез, Установка дегидрирования, Расход продувочного газа в распред. устройство реактора R3
f_23,Синтез. Установка дегидрирования. Расход продувочного газа в M3,кг/ч,Синтез, Установка дегидрирования, Расход продувочного газа в M3
f_24,Синтез. Установка дегидрирования. Расход продувочного газа в V3,кг/ч,Синтез, Установка дегидрирования, Расход продувочного газа в V3
f_25,Синтез. Установка дегидрирования. Средняя температура на выходе сырья из печи H3,градусы Цельсия,Синтез, Установка дегидрирования, Средняя температура на выходе сырья из печи H3
f_26,Синтез. Установка дегидрирования. Расход продувочного газа в R4,кг/ч,Синтез, Установка дегидрирования, Расход продувочного газа в R4
f_27,Синтез. Установка дегидрирования. Расход продувочного газа в M4,кг/ч,Синтез, Установка дегидрирования, Расход продувочного газа в M4
f_28,Синтез. Установка дегидрирования. Температура потока на выходе из печи на входе в реактор R4,градусы Цельсия,Синтез, Установка дегидрирования, Температура потока на выходе из печи на входе в реактор R4
f_29,Синтез. Установка дегидрирования. Средняя температура на выходе сырья из печи H4,градусы Цельсия,Синтез, Установка дегидрирования, Средняя температура на выходе сырья из печи H4
f_30,Синтез. Установка дегидрирования. Температура потока на выходе из печи на входе в реактор R1,градусы Цельсия,Синтез, Установка дегидрирования, Температура потока на выходе из печи на входе в реактор R1
f_31,Синтез. Установка дегидрирования. Температура потока на выходе из печи на входе в реактор R3,градусы Цельсия,Синтез, Установка дегидрирования, Температура потока на выходе из печи на входе в реактор R3
f_32,Синтез. Установка дегидрирования. Расход газа,кг/ч,Синтез, Установка дегидрирования, Расход газа
f_33,Синтез. Установка дегидрирования. Расход сернистого вещества от насосов (насос 1),кг/ч,Синтез, Установка дегидрирования, Расход сернистого вещества от насосов (насос 1)
f_34,Синтез. Установка дегидрирования. Расход сернистого вещества от насосов (насос 2),кг/ч,Синтез, Установка дегидрирования, Расход сернистого вещества от насосов (насос 2)
f_35,Синтез. Установка дегидрирования. Расход сернистого вещества от насосов (насос 3),кг/ч,Синтез, Установка дегидрирования, Расход сернистого вещества от насосов (насос 3)
f_36,Синтез. Установка компримирования. Контроль скорости (мотор 1),Гц,Синтез, Установка компримирования, Контроль скорости (мотор 1)
f_37,Синтез. Установка компримирования. Контроль скорости (мотор 2),Гц,Синтез, Установка компримирования, Контроль скорости (мотор 2)
f_38,Синтез. Установка компримирования. Контроль скорости (мотор 3),Гц,Синтез, Установка компримирования, Контроль скорости (мотор 3)
f_39,Синтез. Установка компримирования. Контроль скорости (мотор 4),Гц,Синтез, Установка компримирования, Контроль скорости (мотор 4)
f_40,Синтез. Установка компримирования. Чистый конденсат,Мпа,Синтез, Установка компримирования, Чистый конденсат
f_41,Установка компримирования. Синтез. Объёмная доля этилена,% (объёмная доля),Синтез,Установка компримирования, Объёмная доля этилена
f_42,Установка компримирования. Синтез. Объёмная доля этана,% (объёмная доля),Синтез,Установка компримирования, Объёмная доля этана
f_43,Синтез. Установка компримирования. Расход рециркуляционного водородного газа,кг/ч,Синтез, Установка компримирования, Расход рециркуляционного водородного газа
f_44,Синтез. Установка компримирования. Расход сырья на входе в узел сепарации,кг/ч,Синтез, Установка компримирования, Расход сырья на входе в узел сепарации
f_45,Синтез. Установка компримирования. Задание расхода сдувки,кг/ч,Синтез, Установка компримирования, Задание расхода сдувки
f_46,Синтез. Установка компримирования. Поточный анализатор состава рециркуляционного водородного газа на линии от сепаратора низкого давления,ppm,Синтез, Установка компримирования, Поточный анализатор состава рециркуляционного водородного газа на линии от сепаратора низкого давления
f_47,Синтез. Установка компримирования. Расход этилена,кг/ч,Синтез, Установка компримирования, Расход этилена
